team,team_code,team_id,league,division,wins,losses,win_pct,gb,wild_card_gb,last_10,streak,runs_scored,runs_allowed,run_diff
Blue Jays,,141,,,94,68,0.58,-,-,,W4,798,721,77
Yankees,,147,,,94,68,0.58,-,+7.0,,W8,849,685,164
Red Sox,,111,,,89,73,0.549,5.0,+2.0,,W1,786,676,110
Rays,,139,,,77,85,0.475,17.0,10.0,,L4,714,683,31
Orioles,,110,,,75,87,0.463,19.0,12.0,,L3,677,788,-111
Guardians,,114,,,88,74,0.543,-,-,,W2,643,649,-6
Tigers,,116,,,87,75,0.537,1.0,-,,L1,758,691,67
Royals,,118,,,82,80,0.506,6.0,5.0,,W2,651,637,14
Twins,,142,,,70,92,0.432,18.0,17.0,,L1,678,773,-95
White Sox,,145,,,60,102,0.37,28.0,27.0,,W1,647,742,-95
Mariners,,136,,,90,72,0.556,-,-,,L3,766,694,72
Astros,,117,,,87,75,0.537,3.0,-,,W2,686,665,21
Rangers,,140,,,81,81,0.5,9.0,6.0,,L2,684,605,79
Athletics,,133,,,76,86,0.469,14.0,11.0,,L2,733,817,-84
Angels,,108,,,72,90,0.444,18.0,15.0,,L2,673,837,-164
Phillies,,143,,,96,66,0.593,-,-,,W1,778,648,130
Mets,,121,,,83,79,0.512,13.0,-,,L1,766,715,51
Marlins,,146,,,79,83,0.488,17.0,4.0,,W1,709,798,-89
Braves,,144,,,76,86,0.469,20.0,7.0,,W1,724,734,-10
Nationals,,120,,,66,96,0.407,30.0,17.0,,L1,687,899,-212
Brewers,,158,,,97,65,0.599,-,-,,W1,806,634,172
Cubs,,112,,,92,70,0.568,5.0,+9.0,,W3,793,649,144
Reds,,113,,,83,79,0.512,14.0,-,,L1,716,681,35
Cardinals,,138,,,78,84,0.481,19.0,5.0,,L4,689,754,-65
Pirates,,134,,,71,91,0.438,26.0,12.0,,L1,583,645,-62
Dodgers,,119,,,93,69,0.574,-,-,,W5,825,683,142
Padres,,135,,,90,72,0.556,3.0,+7.0,,W3,702,621,81
Giants,,137,,,81,81,0.5,12.0,2.0,,W4,705,684,21
D-backs,,109,,,80,82,0.494,13.0,3.0,,L5,791,785,6
Rockies,,115,,,43,119,0.265,50.0,40.0,,L6,597,1021,-424
