name,Age,team,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,ERA,WHIP,BABIP,K_per_9,pitcher_id,season
Fernando Abad,37,Colorado,6,0,1.0,,,6.1,11,3,3,3,2,2,4.26,2.211,0.36,2.8,472551,2023
Andrew Abbott,24,Cincinnati,21,21,8.0,6.0,,109.1,100,47,47,44,120,16,3.87,1.317,0.302,9.9,671096,2023
Cory Abbott,27,Washington,22,0,1.0,2.0,,39.1,48,29,29,19,40,9,6.64,1.703,0.351,9.2,676265,2023
Albert Abreu,27,New York,45,0,2.0,2.0,,59.0,52,39,31,35,61,9,4.73,1.475,0.276,9.3,656061,2023
Bryan Abreu,26,Houston,81,0,3.0,2.0,5.0,80.1,50,21,18,33,114,7,2.02,1.033,0.267,12.8,650556,2023
Domingo Acevedo,29,Oakland,9,0,,,,9.1,16,11,11,2,7,2,10.61,1.929,0.4,6.8,642758,2023
Garrett Acton,25,Oakland,6,0,,,,5.2,9,8,8,5,5,3,12.71,2.471,0.333,7.9,670183,2023
Jason Adam,31,Tampa Bay,56,0,4.0,2.0,12.0,54.1,35,21,18,20,69,7,2.98,1.012,0.239,11.4,592094,2023
Austin Adams,32,Arizona,24,0,,1.0,,17.1,16,12,11,8,22,1,5.71,1.385,0.333,11.4,613534,2023
Ty Adcock,26,Seattle,12,0,,,,15.2,11,7,6,0,11,4,3.45,0.702,0.163,6.3,686654,2023
Joan Adon,24,Washington,12,10,2.0,4.0,,51.2,60,37,37,24,48,8,6.45,1.626,0.333,8.4,672851,2023
Keegan Akin,28,Baltimore,24,1,2.0,2.0,,23.2,35,22,18,7,27,2,6.85,1.775,0.434,10.3,669211,2023
Hanser Alberto,30,Chicago,2,0,,,,1.2,6,4,4,1,1,1,21.6,4.2,0.556,5.4,593643,2023
Jorge Alcala,27,Minnesota,11,0,,1.0,,17.1,14,13,12,10,16,5,6.23,1.385,0.209,8.3,660896,2023
Sandy Alcantara,27,Miami,28,28,7.0,12.0,,184.2,176,91,85,48,151,22,4.14,1.213,0.289,7.4,645261,2023
Scott Alexander,33,San Francisco,55,8,7.0,3.0,1.0,48.1,55,30,25,11,31,2,4.66,1.366,0.327,5.8,518397,2023
Tyler Alexander,28,Detroit,25,1,2.0,1.0,,44.0,44,25,22,5,44,8,4.5,1.114,0.298,9.0,641302,2023
Kolby Allard,25,Atlanta,4,3,,1.0,,12.1,16,9,9,4,13,2,6.57,1.622,0.378,9.5,663465,2023
Logan Allen,24,Cleveland,24,24,7.0,8.0,,125.1,127,55,53,48,119,16,3.81,1.396,0.317,8.5,671106,2023
Yency Almonte,29,Los Angeles,49,0,3.0,2.0,,48.0,43,30,27,24,49,6,5.06,1.396,0.296,9.2,622075,2023
Jos\xc3\xa9 Alvarado,28,Philadelphia,50,0,,2.0,10.0,49.1,37,16,9,21,70,3,1.64,1.176,0.309,12.8,621237,2023
Adbert Alzolay,28,Chicago,58,0,2.0,5.0,22.0,64.0,52,23,19,13,67,5,2.67,1.016,0.29,9.4,640470,2023
Chase Anderson,35,"Colorado,Tampa Bay",19,17,1.0,6.0,1.0,86.1,90,53,52,33,64,17,5.42,1.425,0.292,6.7,502624,2023
Grant Anderson,26,Texas,26,0,2.0,1.0,,35.2,38,20,20,14,30,5,5.05,1.458,0.317,7.6,681982,2023
Nick Anderson,32,Atlanta,35,0,4.0,,1.0,35.1,30,14,12,9,36,3,3.06,1.104,0.29,9.2,623433,2023
