team,HR,R,H,BB,SO,SB,G,PA,AB,BA,OBP,SLG,OPS,AVG,runs_per_game,HR_per_game,BB_pct,K_pct,season
Arizona,109,562,1078,442,1220,36,1557,5047,4503,0.19044736842105264,0.2621578947368421,0.3014736842105263,0.5636578947368421,0.23939595825005552,0.36095054592164416,0.07000642260757868,0.08757677828412919,0.24172775906479096,2021
Atlanta,202,710,1169,480,1308,61,1608,5347,4741,0.13927272727272727,0.18903030303030305,0.23096969696969696,0.42,0.2465724530689728,0.44154228855721395,0.1256218905472637,0.08976996446605573,0.24462315317000188,2021
Baltimore,178,580,1135,392,1260,46,1429,5194,4707,0.1758695652173913,0.22930434782608697,0.29782608695652174,0.5272608695652174,0.24113023157000213,0.4058782365290413,0.1245626312106368,0.07547169811320754,0.24258760107816713,2021
Boston,223,791,1393,482,1292,38,1540,5861,5274,0.18868,0.27049999999999996,0.3102,0.55164,0.26412590064467195,0.5136363636363637,0.1448051948051948,0.08223852584883126,0.22044019791844396,2021
Chicago,306,1192,2130,894,2413,110,2881,9751,8618,0.16990140845070423,0.21820833333333334,0.2603943661971831,0.48170422535211266,0.24715711301926202,0.413745227351614,0.10621312044429018,0.09168290431750589,0.2474617987898677,2021
Cincinnati,222,786,1350,550,1418,36,1886,6131,5397,0.159875,0.21425,0.245675,0.45985,0.2501389660922735,0.41675503711558853,0.11770943796394485,0.08970804110259338,0.23128364051541347,2021
Cleveland,163,557,985,326,1105,87,1259,4564,4136,0.18644,0.24408000000000002,0.2884,0.5324,0.23815280464216634,0.44241461477362987,0.12946783161239078,0.07142857142857142,0.24211218229623138,2021
Colorado,182,736,1329,486,1341,76,1756,5945,5319,0.20041935483870968,0.24635483870967742,0.2963548387096774,0.5427096774193549,0.24985899605188946,0.4191343963553531,0.10364464692482915,0.0817493692178301,0.2255677039529016,2021
Detroit,173,685,1275,484,1485,88,1583,5851,5256,0.16333333333333336,0.23896666666666666,0.2731,0.5121333333333333,0.2425799086757991,0.4327226784586229,0.10928616550852811,0.08272090240984448,0.25380276875747737,2021
Houston,225,882,1521,575,1257,44,1664,6360,5654,0.20892,0.26084,0.31496,0.5758,0.26901308807923596,0.5300480769230769,0.13521634615384615,0.09040880503144653,0.19764150943396228,2021
Kansas City,149,626,1234,371,1102,116,1454,5359,4862,0.18045454545454545,0.25556521739130433,0.2750909090909091,0.4968181818181818,0.25380501851090087,0.4305364511691884,0.10247592847317744,0.06922933383093861,0.2056353797350252,2021
Los Angeles,409,1450,2481,1034,2641,137,3285,11444,10131,0.16036986301369863,0.22271621621621623,0.2482054794520548,0.4602876712328767,0.24489191590168788,0.441400304414003,0.12450532724505327,0.09035302341838518,0.23077595246417337,2021
