team,SO,BB,HR,H,R,ER,IP,G,GS,BABIP,ERA,WHIP,K_per_9,runs_allowed_per_game,HR_per_9,BB_per_9,bullpen_era,bullpen_whip
Arizona,1350,528,201,1366,763,714,1440.7,658,178,0.2983461538461538,4.460331783160964,1.314638717290206,8.433400430346358,1.1595744680851063,1.255639619629347,3.298396612757687,4.37603993344426,1.3107783324089481
Atlanta,1475,526,184,1296,679,626,1394.1,656,161,0.3075925925925926,4.041316978695933,1.306936374722043,9.522272433828277,1.0350609756097562,1.18786313750807,3.3957391865719826,3.5543478260869565,1.2590579710144927
Baltimore,1345,447,166,1251,630,585,1367.2,657,158,0.33896,3.8509362200117025,1.2419543592744295,8.853861907548273,0.958904109589041,1.0927442949093036,2.942510239906378,3.491136600625652,1.2888425443169969
Boston,1355,458,198,1331,713,665,1343.7,609,160,0.32184615384615384,4.454119223040857,1.3313983776140508,9.075686537173477,1.1707717569786535,1.3261888814467515,3.0676490288010716,4.290034562211981,1.3738479262672811
Chicago,2219,885,297,2167,1210,1109,2269.8,1052,260,0.31827906976744186,4.397303727200634,1.3446118600757775,8.798572561459158,1.150190114068441,1.177636796193497,3.5091197462331483,4.525996779998105,1.3732361019035892
Cincinnati,1271,564,196,1281,739,693,1304.0,716,141,0.316,4.7829754601226995,1.414877300613497,8.77223926380368,1.032122905027933,1.352760736196319,3.892638036809816,4.201694633660076,1.3540455225120454
Cleveland,1174,475,146,1214,625,569,1279.0,664,136,0.29,4.003909304143862,1.3205629397967162,8.261141516810008,0.9412650602409639,1.0273651290070367,3.3424550430023454,3.954869358669834,1.309806582965728
Colorado,880,455,177,1286,749,696,1144.3999999999999,566,124,0.3231111111111111,5.473610625655366,1.521321216357917,6.920657112897589,1.323321554770318,1.391995805662356,3.578294302691367,5.411519571364787,1.5106414645036463
Detroit,1238,425,168,1162,656,602,1277.7,616,144,0.29765384615384616,4.240432026297253,1.2420756046020192,8.720356891289034,1.0649350649350648,1.1833763794317915,2.9936604836816154,4.038058659217877,1.2709497206703912
Houston,1455,535,204,1291,705,641,1416.4,680,159,0.3005,4.0730019768427,1.2891838463710816,9.245269697825472,1.036764705882353,1.2962439988703756,3.399463428410053,3.6678138018474913,1.2443397935156675
Kansas City,977,444,184,1195,736,694,1143.5,520,141,0.29644827586206896,5.462177525142107,1.4333187581985134,7.6895496283340625,1.4153846153846155,1.4481853957149105,3.494534324442501,5.477405247813412,1.506924198250729
Los Angeles,2318,904,325,2162,1233,1118,2346.0,1043,295,0.30579999999999996,4.289002557544757,1.3069053708439897,8.892583120204604,1.1821668264621286,1.2468030690537084,3.468030690537084,3.99566309061858,1.33188769687286
Miami,1412,472,184,1248,669,625,1352.8,630,162,0.3111153846153846,4.158042578356002,1.27143701951508,9.39384979302188,1.061904761904762,1.224127735068007,3.140153755174453,4.421780773323873,1.3284852784675416
Milwaukee,1369,460,189,1144,597,551,1366.8,606,164,0.2937777777777778,3.6281826163301143,1.173544044483465,9.014486391571554,0.9851485148514851,1.2445127304653203,3.0289727831431077,3.043093922651934,1.1845303867403314
Minnesota,1572,439,196,1288,647,613,1442.7,623,168,0.2798846153846154,3.8240798502807234,1.1970610660566992,9.806612601372427,1.0385232744783306,1.222707423580786,2.738615096693699,3.794081880826915,1.2201053911633561
New York,2433,967,327,2275,1260,1155,2448.7,1148,286,0.29600000000000004,4.245109650018377,1.3239678196594111,8.942295912116634,1.0975609756097562,1.2018622126026055,3.554130763262139,4.020802377414562,1.3184744923229321
Oakland,1185,633,197,1346,837,780,1301.4,595,153,0.30338888888888893,5.394190871369294,1.520670047641002,8.195020746887966,1.4067226890756304,1.3623789764868601,4.37759336099585,5.4320100592778875,1.526854679360517
Philadelphia,1455,441,170,1230,652,596,1381.6,670,160,0.3273181818181818,3.882455124493341,1.2094672843080487,9.478141285466126,0.9731343283582089,1.1074116965836713,2.8727562246670533,3.7101063829787235,1.2651975683890577
Pittsburgh,1122,489,140,1108,635,592,1151.2,591,124,0.3095833333333333,4.628214037526059,1.3872480889506602,8.771716469770674,1.0744500846023688,1.0945100764419735,3.8229673384294647,4.202334630350195,1.3250051198033994
San Diego,1308,490,145,1095,540,499,1277.1,579,147,0.27008,3.5165609584214237,1.2410931015582178,9.217758985200847,0.9326424870466321,1.02184637068358,3.453136011275547,3.7332589285714284,1.2890625
San Francisco,1354,401,172,1391,718,640,1424.9,653,162,0.2976521739130435,4.042388939574707,1.2576321145343532,8.55217910028774,1.0995405819295558,1.0863920275107024,2.5328093199522774,3.9934451027354094,1.2996344384217826
Seattle,1283,357,151,1119,556,512,1263.3999999999999,571,156,0.25396153846153846,3.647300933987653,1.16827608041792,9.139623238879215,0.9737302977232924,1.0756688301408897,2.5431375652999844,3.368611254517295,1.2596799173980382
St. Louis,834,375,143,1179,647,602,1044.3,469,121,0.3475238095238095,5.188164320597529,1.488078138465958,7.187589773053721,1.3795309168443497,1.2324044814708417,3.2318299339270324,4.841978287092883,1.4258142340168878
Tampa Bay,1174,337,129,952,499,468,1083.5,502,132,0.3142962962962963,3.8874019381633595,1.1896631287494233,9.75173050299954,0.9940239043824701,1.0715274573142595,2.7992616520535303,4.039042060776816,1.2457234856107868
Texas,1223,454,182,1228,660,630,1311.0,579,152,0.285625,4.324942791762013,1.2829900839054158,8.395881006864988,1.1398963730569949,1.2494279176201373,3.1167048054919912,5.051727933083865,1.2898965441338321
Toronto,1488,477,196,1285,651,598,1401.3,657,164,0.2917272727272727,3.840719332048812,1.2574038392920859,9.556840077071291,0.9908675799086758,1.2588310854206808,3.063583815028902,3.7743650324867097,1.2305571962984838
